author,comment,publishedAt,likeCount
@ViaFitriani-xh6tu,"Yang tiker jadul di tempel di kening itu bner ada budaya sunda daerah ku, katanya biar anak berhenti gak cegukan lagi",2025-10-09T13:31:39Z,0
@triendahp4127,Sur dengerin ankmu tuh istrht jgn diambil semua kerjazn ... istrht,2025-10-09T13:24:48Z,0
@elanurlaelasari3444,"Asa lalajo tongkrongan bapak2 urang sunda,eta ning ceuk si anjing teh salah naon urang mang di sebutan wae ceunah 😅",2025-10-09T12:40:41Z,0
@nalasahita,Bapak bapak green flag ❤,2025-10-09T12:31:07Z,1
@MeykaWibowo,Asep jaelani ini salah satu artis yg bisa masuk kemanapun,2025-10-09T11:59:13Z,1
@Edhyarjuna,Hari ini Bang Omes gak ngantuk MVP😂😂😂,2025-10-09T11:49:19Z,0
@indral378,"Kapan ya podkesmas undang ayu ting ting, ngga sabar nih",2025-10-09T11:25:16Z,0
@ajengpuspitasari2810,Ngakak bgt ep. Ini haha,2025-10-09T08:30:24Z,0
@riskyfebriyanti6891,Sarboah parawan centil 😂,2025-10-09T07:34:24Z,0
@syifauzias,a omesh lucu pisannnn kyk nemu comfort zonenya 😭😭😭😭😭,2025-10-09T07:02:47Z,0
@qianzyofficial,bahagia semua nya,2025-10-09T06:23:10Z,0
@PaPa_ASEP,Aya naon ky 😂😂😂😂😂😂😂😂,2025-10-09T06:00:49Z,1
@NenengSitimariah,Suamiku harus nonton ini.,2025-10-09T05:37:01Z,1
@janeesther,☕️🍩,2025-10-09T05:33:21Z,0
@bektinoorh,astagahh ngakak terus,2025-10-09T04:34:02Z,1
@GarutTurunanKidul,Ngoonah seuri,2025-10-09T03:36:34Z,1
@Najma-c9f,Bapaku JAELANI😢,2025-10-09T03:23:16Z,1
@FujiAstuti9128,Seru banget nontonin bapak² gibah ga berenti ketawain dari awal sampe akhir😭🤣🤣,2025-10-09T03:03:57Z,6
@Hendri_Fajar,"Sur mata lu mulai sayu, udah keliatan mata panda juga... istirahat surrr...",2025-10-09T02:35:38Z,22
@falipipit7824,Jir keur tuang lalajo ieu geloo siah Jol ngureuy,2025-10-09T01:20:48Z,1
@afifahh_rn,hahaha kocak kocak kocak😭🫶,2025-10-09T00:02:26Z,3
@boxbox351,Closingnya edan.,2025-10-08T23:37:38Z,1
@nurulfauziah3659,😂😂,2025-10-08T20:25:18Z,0
@hasanahfitri4803,ketawa abiieezz🤣🤣,2025-10-08T16:50:04Z,1
@imansyah7133,"40:55 java batagor,ngeunah seuri ajig haha",2025-10-08T16:46:47Z,1
@putripermatahati3304,Eps nu paling ngakak 😂 Capek seseurian 🤣 Sehat-sehat Kalian 😇,2025-10-08T15:51:33Z,1
@riyansyah6118,Undang king aloy dong biar seru❤🎉😂,2025-10-08T15:24:15Z,2
@megasalsabilla9698,UNDANG ABAH SULEWW,2025-10-08T15:09:42Z,1
@adolfbastian661,41:33 sarbo'ah 😅,2025-10-08T14:10:59Z,0
@shinanureninazilah7183,That’s “khas tai bayi” 😂😂,2025-10-08T13:52:44Z,1
@sejuksenja,Seru banget sumpah episode ini..kurang lama euy hahaha,2025-10-08T13:11:52Z,4
@snrbulan,di jawa garem jg uyah namanya,2025-10-08T12:56:28Z,0
@Noise_tv11,Selalu hadir,2025-10-08T11:53:48Z,0
@JangdoelUjang,Siapa yang kesini gara² Nemu di Ig 😅,2025-10-08T11:53:29Z,1
@indpsjhd,podkesmas kalau ada celahnya undang melaney richardo dong,2025-10-08T11:32:59Z,2
@aidaceha5,"gara2 rizky febian sy ek cenel ini dan subcribe.....ternyata bapak2 muda ini  kerjaaaa terus, keren, iky lucu natural..emang gen sule",2025-10-08T10:39:25Z,2
@LilianYuniswara-ht6rb,Kalau adaa sumur di ladang,2025-10-08T10:39:19Z,1
@yantiyanti5599,ngakakk rame bangettt 😂,2025-10-08T09:49:37Z,1
@AbdrahmanK3,Seru tanpa ribet? Ke 🎮MINI1221 👟🎮,2025-10-08T09:12:47Z,0
